compound,disease,score,n_shared_genes,shared_genes_sample,n_shared_pathways,shared_pathways_sample
Triamcinolone,breast cancer,0.9996398687362671,20,"['PCNA', 'CDKN1A', 'BCHE', 'CASP7', 'SMAD3']",515,"['EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Lipoprotein metabolism', 'Felbamate Metabolism', 'Endoderm Differentiation']"
Hydrocortisone,hematologic cancer,0.9995594620704651,8,"['CD81', 'ABCB1', 'NFKBIA', 'ABCG2', 'RGS2']",299,"['Regulation of mRNA stability by proteins that bind AU-rich elements', 'B Cell Receptor Signaling Pathway', 'Rac1/Pak1/p38/MMP-2 pathway', 'Regulation of Rheb GTPase activity by AMPK', 'Metabolism of mRNA']"
Fluorouracil,hematologic cancer,0.999502420425415,6,"['CDKN1A', 'ABCC3', 'ALB', 'CDK6', 'MTHFR']",202,"['Rac1/Pak1/p38/MMP-2 pathway', 'Gap junction assembly', 'Transport of glucose and other sugars, bile salts and organic acids, metal ions and amine compounds', 'ErbB Signaling Pathway', 'Signaling by EGFR']"
Paclitaxel,hematologic cancer,0.9993851184844971,25,"['SPG21', 'CDK4', 'CDK2', 'MLLT11', 'GRB10']",799,"['SHC activation', 'Early Phase of HIV Life Cycle', 'EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Eukaryotic Translation Termination']"
Teniposide,breast cancer,0.9992890357971191,102,"['LMNB1', 'EGR1', 'PBK', 'PTTG1', 'UBE2C']",1032,"['Early Phase of HIV Life Cycle', 'EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Regulation of signaling by CBL', 'Translation Factors']"
Etoposide,breast cancer,0.999230146408081,65,"['PYCR1', 'INPP1', 'CDKN1A', 'PTTG1', 'PBK']",731,"['Early Phase of HIV Life Cycle', 'EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Eukaryotic Translation Termination', 'Translation Factors']"
Triamcinolone,hypertension,0.9992294311523438,12,"['MYC', 'CDKN1A', 'LPL', 'IER3', 'PRKCD']",471,"['EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Lipoprotein metabolism', 'Endoderm Differentiation', 'Validated targets of C-MYC transcriptional activation']"
Triamcinolone,systemic scleroderma,0.9991493225097656,4,"['NFKBIA', 'CCL2', 'GDF15', 'PCNA']",455,"['EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Lipoprotein metabolism', 'Endoderm Differentiation', 'Validated targets of C-MYC transcriptional activation']"
Docetaxel,hematologic cancer,0.9991076588630676,11,"['TPI1', 'ITGAE', 'CDKN1A', 'BCL2', 'ABCB1']",472,"['EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Eukaryotic Translation Termination', 'Meiotic recombination', 'Post-chaperonin tubulin folding pathway']"
Vincristine,breast cancer,0.9990917444229126,49,"['INPP1', 'CDKN1A', 'GINS1', 'PCNA', 'UBE2C']",921,"['Early Phase of HIV Life Cycle', 'EGF/EGFR Signaling Pathway', 'Toll Like Receptor 4 (TLR4) Cascade', 'Extrinsic Pathway', 'Translation Factors']"
