fold,auroc,auprc,acc
1,0.948421052631579,0.9555433075488132,0.9006622516556292
2,0.9212280701754385,0.9229383057144968,0.8543046357615894
3,0.9352631578947368,0.9328677303723136,0.8609271523178808
4,0.9607017543859648,0.9606039824247432,0.9006622516556292
5,0.9585964912280702,0.9603886325174412,0.8874172185430463
6,0.9435087719298245,0.941063160919013,0.8675496688741722
7,0.9333333333333333,0.9234954428253017,0.8609271523178808
8,0.9368421052631579,0.9431646491851333,0.8609271523178808
9,0.9542105263157894,0.942250802204056,0.9072847682119205
10,0.9321052631578948,0.9036868360185302,0.8940397350993378
